1	mi piace	I like (lit. "it pleases me")	"mi piace il caffè"	CORE	subject and object reversed vs English — "mi piacciono" for plurals
1	sapere vs conoscere	to know facts vs to know people/places	"so la risposta" / "conosco Roma"	CORE	the classic split
1	ci vuole / ci vogliono	it takes (time/effort)	"ci vuole un'ora"	CORE	agrees with the thing: ci vogliono due ore
1	da + present	for/since (durations)	"studio italiano da due anni"	CORE	present tense, not past — I *have studied* for two years
1	attualmente	currently	"attualmente vivo a Roma"	CORE	false friend — not "actually" (= in realtà)
1	eventualmente	possibly, if need be	"eventualmente ti chiamo"	CORE	false friend — not "eventually" (= prima o poi)
1	i parenti	relatives	"i miei parenti sono a Napoli"	CORE	false friend — not parents (= i genitori)
1	la libreria	bookshop	"l'ho comprato in libreria"	CORE	false friend — not library (= la biblioteca)
1	sensibile	sensitive	"è molto sensibile"	CORE	false friend — not sensible (= ragionevole)
1	prendere	to take / to have (food, drink)	"prendo un caffè"	CORE	
2	magari	maybe / I wish!	"magari vengo" / "— vinci? — magari!"	CASUAL	as an exclamation it means "if only"
2	boh	no idea	"— chi era? — boh"	CASUAL	complete answer on its own
2	dai	come on	"dai, andiamo"	CASUAL	
2	figurati	don't mention it / no worries	"— grazie mille — figurati"	CASUAL	also "imagine that!" with the right tone
2	anzi	actually, on the contrary	"anzi, meglio così"	CASUAL	corrects what you just said
2	mica	not at all / hardly	"non è mica facile"	CASUAL	reinforces a negation
2	addirittura	even / really?!	"addirittura?"	CASUAL	as a reply: "that far?!"
2	mi raccomando	please, I'm counting on you	"mi raccomando, chiamami"	CASUAL	no clean English equivalent
2	in gamba	capable, on the ball	"una ragazza in gamba"	CASUAL	
2	meno male	thank goodness	"meno male che sei qui"	CASUAL	
3	che figata	how cool	"che figata questo posto"	CASUAL	youth register
3	figo	cool	"che figo"	CASUAL	also "fico" in the south
3	assurdo	wild, unbelievable (as a reaction)	"assurdo!"	CASUAL	
3	in bocca al lupo	good luck (lit. into the wolf's mouth)	"in bocca al lupo per domani"	CASUAL	the reply is "crepi"
3	che palle	what a pain	"che palle, ancora riunioni"	CASUAL	mildly vulgar origin — friends only
3	menefreghismo	couldn't-care-less attitude	"il suo menefreghismo mi uccide"	CASUAL	no English equivalent
3	daje	come on / let's go (Rome)	"daje che ce la fai"	REGIONAL	Roman; Milan says "dai"
3	una cifra	a ton, a lot (Rome)	"mi piace una cifra"	REGIONAL	
3	scialla	chill, relax (youth)	"scialla, tranquillo"	REGIONAL	youth slang, fading in and out
3	che sbatti	what a hassle (Milan, youth)	"che sbatti sto progetto"	REGIONAL	
