1	el agua	water (f., but takes "el")	"¿me traes el agua?"	CORE	feminine noun that takes el — la agua is wrong
1	la mesa	table	"pon el libro en la mesa"	CORE	
1	ahora	now	"lo hago ahora"	CORE	
1	tener ganas de	to feel like (doing)	"tengo ganas de café"	CORE	tener, not estar
1	quedar	to arrange to meet / to remain	"quedamos a las ocho"	CORE	
1	tardar	to take (time)	"tarda dos horas"	CORE	
1	pedir vs preguntar	ask for vs ask a question	"pedir un favor" / "preguntar la hora"	CORE	classic learner trap
1	extrañar	to miss someone (LatAm)	"te extraño"	CORE	Spain prefers echar de menos
1	echar de menos	to miss someone (Spain)	"te echo de menos"	CORE	Latin America prefers extrañar
1	sobremesa	the talk that lingers after a meal	"nos quedamos de sobremesa"	CORE	no English equivalent
2	dar igual	to not matter	"me da igual"	CASUAL	
2	menos mal	thank goodness	"menos mal que llegaste"	CASUAL	
2	de hecho	in fact	"de hecho, tienes razón"	CASUAL	
2	o sea	I mean / that is	"o sea, no vino"	CASUAL	the Spanish "like"
2	ya está	that's it / done	"ya está, terminamos"	CASUAL	
2	a lo mejor	maybe	"a lo mejor viene"	CASUAL	takes indicative, not subjunctive
2	echar la culpa	to blame	"me echó la culpa"	CASUAL	
2	ponerse las pilas	to get one's act together	"ponte las pilas"	CASUAL	lit. put your batteries in
2	ahorita	right now / in a bit (MX)	"ahorita voy"	REGIONAL	could mean five minutes or never — not literal
2	vale	ok, sure (Spain)	"vale, nos vemos"	REGIONAL	Mexico says sale or va
3	qué chido	how cool (MX)	"qué chido tu depa"	REGIONAL	Spain says qué guay
3	guay	cool (Spain)	"qué guay"	REGIONAL	
3	currar	to work (Spain)	"tengo que currar"	REGIONAL	
3	flipar	to be blown away (Spain)	"flipé con la noticia"	REGIONAL	
3	tío / tía	dude / mate (Spain)	"¿qué tal, tío?"	REGIONAL	literally uncle/aunt
3	chamba	work, a job (MX, Peru)	"conseguí chamba"	REGIONAL	
3	no manches	no way / you're kidding (MX)	"¿no manches?"	REGIONAL	softened form of a stronger phrase
3	ni modo	oh well, nothing to be done (MX)	"ni modo, será después"	REGIONAL	
3	me caes bien	I like you — as a person	"me caes bien"	CASUAL	not romantic; learners misuse this
3	weón	dude (Chile)	"oye weón"	RISKY	from huevón; swings friendly to insult — decode before you deploy
